데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,2022-03-13,인천,340000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-13,경기도,333000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-13,서울,530000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-13,경기도,1290000,FALSE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-13,전남,1000000,FALSE,아이폰12ProMax,없음
당근마켓,애플,2022-03-13,경기도,350000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-13,인천,1280000,TRUE,아이폰13Pro,256GB
당근마켓,애플,2022-03-13,울산,500000,FALSE,아이폰11Pro,128GB
당근마켓,애플,2022-03-13,경기도,280000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-13,충북,500000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-13,경기도,900000,FALSE,아이폰12Pro,256GB
당근마켓,애플,2022-03-13,경기도,750000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-13,서울,930000,FALSE,아이폰12Pro,512GB
당근마켓,애플,2022-03-13,서울,100000,FALSE,아이폰Se,없음
당근마켓,애플,2022-03-13,경기도,810000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-03-12,경기도,540000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-13,경기도,600000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-12,경남,620000,TRUE,아이폰11Pro,256GB
당근마켓,애플,2022-03-12,서울,470000,FALSE,아이폰12Mini,64GB
당근마켓,애플,2022-03-12,경기도,850000,FALSE,아이폰11ProMax,512GB
당근마켓,애플,2022-03-12,서울,1400000,FALSE,아이폰ProMax,256GB
당근마켓,애플,2022-03-12,서울,300000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,서울,1190000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-12,경기도,1190000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-12,대전,360000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,경기도,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-12,대전,360000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,경기도,390000,TRUE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,서울,895000,FALSE,아이폰13,128GB
당근마켓,애플,2022-03-12,경기도,300000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-12,서울,1150000,TRUE,아이폰13Pro,128GB
당근마켓,애플,2022-03-12,경기도,270000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-12,서울,450000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-12,경기도,778000,TRUE,아이폰12Mini,64GB
당근마켓,애플,2022-03-10,경기도,430000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-10,경기도,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-11,경기도,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-11,대전,320000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-11,인천,520000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-11,충북,980000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-11,경기도,430000,FALSE,아이폰11Pro,128GB
당근마켓,애플,2022-03-11,경기도,700000,FALSE,아이폰11ProMax,512GB
당근마켓,애플,2022-03-11,인천,1420000,TRUE,아이폰13Pro,512GB
당근마켓,애플,2022-03-11,인천,1490000,TRUE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-11,경기도,1490000,TRUE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-11,경기도,800000,FALSE,아이폰13Mini,256GB
당근마켓,애플,2022-03-11,서울,430000,FALSE,아이폰11Pro,128GB
당근마켓,애플,2022-03-11,경기도,410000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-11,서울,280000,TRUE,아이폰Xr,128GB
당근마켓,애플,2022-03-11,서울,220000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-11,인천,1040000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-11,인천,1050000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-11,서울,650000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-09,경기도,450000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-10,경기도,1050000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-10,서울,230000,TRUE,아이폰Xs,256GB
당근마켓,애플,2022-03-10,전북,910000,TRUE,아이폰13,128GB
당근마켓,애플,2022-03-10,인천,400000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-10,서울,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-10,서울,680000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-10,인천,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-10,부산,500000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-10,서울,680000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-10,서울,250000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-10,경기도,880000,TRUE,아이폰12Pro,256GB
당근마켓,애플,2022-03-10,경기도,1300000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-10,서울,450000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-09,충북,300000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-09,서울,720000,FALSE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-09,대구,480000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-09,경기도,960000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-09,대전,230000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-09,서울,550000,FALSE,아이폰XsMax,512GB
당근마켓,애플,2022-03-09,광주,480000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-09,경기도,1130000,TRUE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-09,경기도,350000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-09,서울,1200000,FALSE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-09,경기도,1170000,TRUE,아이폰13Pro,128GB
당근마켓,애플,2022-03-08,경기도,300000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-08,서울,550000,TRUE,아이폰11ProMax,64GB
당근마켓,애플,2022-03-08,인천,450000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-08,서울,1000000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-08,경남,290000,FALSE,아이폰Xs,없음
당근마켓,애플,2022-03-07,경기도,1100000,TRUE,아이폰13,256GB
당근마켓,애플,2022-03-07,경기도,1100000,FALSE,아이폰13,256GB
당근마켓,애플,2022-03-07,경북,500000,TRUE,아이폰12Mini,64GB
당근마켓,애플,2022-03-07,서울,1200000,FALSE,아이폰13Pro,128GB
당근마켓,애플,2022-03-07,대전,850000,FALSE,아이폰13Mini,256GB
당근마켓,애플,2022-03-07,서울,192000,FALSE,아이폰Se,256GB
당근마켓,애플,2022-03-06,서울,1400000,TRUE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-06,서울,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-06,경기도,280000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-06,인천,1300000,TRUE,아이폰13Pro,256GB
당근마켓,애플,2022-03-06,경기도,320000,FALSE,아이폰Xr,256GB
당근마켓,애플,2022-03-06,부산,570000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-06,경기도,820000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-03-06,경기도,230000,FALSE,아이폰Se,없음
당근마켓,애플,2022-03-06,경기도,480000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-06,서울,140000,FALSE,아이폰Pro,64GB
당근마켓,애플,2022-03-05,경북,400000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-05,서울,1300000,TRUE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-05,경기도,540000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-05,서울,600000,TRUE,아이폰12Mini,256GB
당근마켓,애플,2022-03-04,경기도,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-04,서울,1850000,TRUE,아이폰13ProMax,없음
당근마켓,애플,2022-03-13,경기도,570000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-13,전남,450000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-13,서울,100000,TRUE,아이폰Se,없음
당근마켓,애플,2022-03-13,경남,1500000,FALSE,아이폰13ProMax,없음
당근마켓,애플,2022-03-04,서울,900000,FALSE,아이폰12Pro,512GB
당근마켓,애플,2022-03-13,경남,1500000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-13,경북,100000,FALSE,아이폰11Pro,없음
당근마켓,애플,2022-03-13,경기도,1000000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-13,서울,500000,FALSE,아이폰12Mini,256GB
