데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,2022-03-15,경기도,950000,FALSE,아이폰12ProMax,128GB
당근마켓,애플,2022-03-15,경기도,1170000,TRUE,아이폰13Pro,128GB
당근마켓,애플,2022-03-15,경기도,340000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-15,경기도,270000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-15,경기도,900000,FALSE,아이폰12Pro,256GB
당근마켓,애플,2022-03-15,경기도,800000,TRUE,아이폰12Pro,256GB
당근마켓,애플,2022-03-15,경기도,270000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-15,경기도,290000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-15,울산,450000,TRUE,아이폰11Pro,128GB
당근마켓,애플,2022-03-15,서울,730000,TRUE,아이폰11Pro,256GB
당근마켓,애플,2022-03-15,서울,900000,FALSE,아이폰12,128GB
당근마켓,애플,2022-03-15,강원도,480000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-15,경기도,795000,TRUE,아이폰13Mini,128GB
당근마켓,애플,2022-03-15,경기도,790000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-15,경기도,300000,FALSE,아이폰Xr,128GB
당근마켓,애플,2022-03-15,경기도,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-15,부산,320000,FALSE,아이폰11,64GB
당근마켓,애플,2022-03-15,서울,520000,TRUE,아이폰11ProMax,64GB
당근마켓,애플,2022-03-15,서울,420000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-15,서울,430000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-14,강원도,300000,FALSE,아이폰XsMax,256GB
당근마켓,애플,2022-03-14,경기도,250000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-14,서울,1110000,TRUE,아이폰13,256GB
당근마켓,애플,2022-03-14,부산,460000,FALSE,아이폰12Mini,64GB
