데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-24,전국,250000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-24,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-31,경기도,400000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-31,전북,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-31,경북,150000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-31,경기도,400000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-31,경기도,285000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-31,강원도,1450000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-03-31,대구,790000,FALSE,아이폰12Pro,128GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-31,전국,1000000,FALSE,아이폰13,없음
번개장터,애플,2022-03-27,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-31,전국,1000000,FALSE,아이폰13,없음
번개장터,애플,2022-03-27,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-27,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-27,서울,450000,TRUE,아이폰11,128GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-28,경기도,1380000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-03-28,경기도,1380000,TRUE,아이폰13ProMax,128GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-31,강원도,1450000,FALSE,아이폰13ProMax,256GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-31,강원도,1450000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-03-31,서울,120000,FALSE,아이폰Xs,64GB
번개장터,애플,1달 전,서울,800000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-31,서울,120000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-24,전국,410000,TRUE,아이폰XsMax,64GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-31,서울,90000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-31,서울,120000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-24,전국,1250000,TRUE,아이폰13Pro,256GB
