데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-31,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-04-02,전국,250000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-04-02,전국,250000,FALSE,아이폰Xs,64GB
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-04-02,서울,800000,FALSE,아이폰13Mini,256GB
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-04-02,서울,550000,FALSE,아이폰11,없음
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-28,서울,450000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-26,인천,555000,FALSE,아이폰Xs1112,없음
번개장터,애플,2022-04-02,서울,169000,FALSE,아이폰Se,128GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-04-02,서울,169000,FALSE,아이폰Se,128GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-04-02,전국,240000,TRUE,아이폰Xs,64GB
번개장터,애플,2022-04-02,전국,270000,FALSE,아이폰13,없음
번개장터,애플,2022-03-26,전국,410000,TRUE,아이폰XsMax,64GB
번개장터,애플,2022-04-02,전국,320000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,전국,300000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-04-02,경기도,1100000,FALSE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,800000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-26,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-26,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-26,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,충북,400000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-04-02,경기도,1300000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-03-28,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-04-02,전국,830000,FALSE,아이폰13Mini,256GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-04-02,경북,270000,FALSE,아이폰Xr,128GB
번개장터,애플,1달 전,서울,1460000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,부산,1260000,FALSE,아이폰13ProMax,128GB
번개장터,애플,1달 전,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,경북,90000,FALSE,아이폰Se,없음
번개장터,애플,2022-04-02,광주,480000,FALSE,아이폰11,128GB
번개장터,애플,2022-04-02,광주,480000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-26,전국,950000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-04-02,서울,450000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-04-02,광주,480000,FALSE,아이폰11,128GB
번개장터,애플,1년 전,서울,129000,FALSE,아이폰Se,64GB
번개장터,애플,2022-04-02,경남,350000,FALSE,아이폰11Pro,64GB
번개장터,애플,1달 전,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-26,서울,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-04-02,충북,370000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-28,전국,900000,TRUE,아이폰12Pro,512GB
번개장터,애플,2022-04-02,경기도,1070000,FALSE,아이폰13Pro,128GB
번개장터,애플,2022-04-02,경기도,150000,FALSE,아이폰Se,128GB
번개장터,애플,2022-04-02,충북,430000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-04-02,대구,360000,FALSE,아이폰11,64GB
번개장터,애플,2022-04-02,대구,360000,FALSE,아이폰11,64GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,전국,350000,FALSE,아이폰11,128GB
번개장터,애플,1달 전,서울,1050000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-04-02,전국,150000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-04-02,경기도,190000,FALSE,아이폰Se,64GB
번개장터,애플,2022-04-02,전국,350000,FALSE,아이폰11,128GB
번개장터,애플,2022-04-02,경기도,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-04-02,서울,200000,FALSE,아이폰Se,128GB
번개장터,애플,2022-04-02,경기도,400000,TRUE,아이폰11,128GB
번개장터,애플,2022-04-02,전국,120000,FALSE,아이폰Se,없음
번개장터,애플,1년 전,서울,389000,FALSE,아이폰XsMax,512GB
번개장터,애플,2022-04-02,전국,1100000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,전국,1100000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,전국,510000,FALSE,아이폰12Mini,256GB
번개장터,애플,1년 전,서울,199000,FALSE,아이폰Se,128GB
번개장터,애플,2022-04-02,대전,750000,FALSE,아이폰13,256GB
번개장터,애플,2022-04-02,전국,750000,FALSE,아이폰13Mini,없음
번개장터,애플,2022-04-02,서울,604000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-30,인천,970000,FALSE,아이폰XsXr1112Pro,없음
번개장터,애플,2022-04-02,서울,500000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,서울,500000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,경기도,439000,FALSE,아이폰12Mini,128GB
번개장터,애플,1년 전,서울,279000,FALSE,아이폰Xs,512GB
번개장터,애플,2022-04-02,경기도,350000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-04-02,경기도,350000,FALSE,아이폰Xs,256GB
번개장터,애플,1년 전,서울,589000,FALSE,아이폰11ProMax,512GB
번개장터,애플,2022-04-02,전국,800000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-31,전국,888888,FALSE,아이폰111213ProMaxMini,없음
번개장터,애플,2022-04-02,경북,90000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-29,인천,777000,FALSE,아이폰11,없음
번개장터,애플,2022-03-31,전국,999999,FALSE,아이폰XsXrSeMax,없음
번개장터,애플,2022-04-02,충북,670000,FALSE,아이폰13,없음
번개장터,애플,2022-04-02,서울,500000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-19,서울,429000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-04-02,인천,530000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-19,서울,429000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-03-19,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-04-02,전국,400000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-19,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-04-02,경기도,280000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-19,서울,789000,FALSE,아이폰12Pro,512GB
번개장터,애플,2022-03-19,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-04-02,전국,1300000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,전북,550000,FALSE,아이폰11Pro,없음
번개장터,애플,1년 전,서울,409000,FALSE,아이폰11,256GB
번개장터,애플,2022-03-19,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-04-02,서울,999990,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-04-02,경남,350000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-04-02,서울,1000000,TRUE,아이폰Xs111213Mini,없음
번개장터,애플,2022-04-02,경남,350000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-04-02,전국,330000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-04-02,전국,970000,FALSE,아이폰13ProMini,512GB
번개장터,애플,2022-03-31,서울,390000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-04-02,강원도,300000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-04-02,충북,410000,FALSE,아이폰11Pro,없음
번개장터,애플,2022-04-02,서울,380000,FALSE,아이폰11,128GB
번개장터,애플,2022-04-02,서울,1000000,TRUE,아이폰Xs111213Mini,없음
번개장터,애플,2022-04-02,서울,300000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-04-02,부산,340000,FALSE,아이폰Xs,256GB
번개장터,애플,2022-04-02,전국,610000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,서울,400000,FALSE,아이폰11,64GB
번개장터,애플,2022-04-02,전국,840000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-31,대전,820000,TRUE,아이폰13,256GB
번개장터,애플,2022-04-02,서울,300000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-31,대전,820000,TRUE,아이폰13,256GB
번개장터,애플,2022-04-02,전국,1450000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,전국,500000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,충남,450000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-31,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-04-02,서울,220000,FALSE,아이폰Se,64GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-04-02,서울,730000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-04-02,서울,450000,FALSE,아이폰11,64GB
번개장터,애플,2022-04-02,경기도,834000,FALSE,아이폰12Pro,256GB
번개장터,애플,2022-04-02,경기도,150000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-04-02,충북,430000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-28,서울,450000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-26,인천,555000,FALSE,아이폰Xs1112,없음
번개장터,애플,2022-04-02,전국,280000,FALSE,아이폰Xr,128GB
번개장터,애플,2022-04-02,전북,450000,FALSE,아이폰11,없음
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-26,전국,410000,TRUE,아이폰XsMax,64GB
번개장터,애플,2022-04-02,전국,120000,FALSE,아이폰12Se,없음
번개장터,애플,2022-04-02,경남,1050000,FALSE,아이폰13Pro,128GB
번개장터,애플,2022-03-26,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-04-02,서울,620000,FALSE,아이폰12,128GB
번개장터,애플,2022-04-02,전남,500000,FALSE,아이폰11ProMax,64GB
번개장터,애플,2022-03-26,전국,410000,TRUE,아이폰XsMax,64GB
번개장터,애플,2022-04-02,서울,620000,FALSE,아이폰12,128GB
번개장터,애플,2022-04-02,전남,500000,FALSE,아이폰11ProMax,64GB
번개장터,애플,2022-04-02,전남,500000,FALSE,아이폰11ProMax,64GB
번개장터,애플,2022-04-02,강원도,350000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,인천,270000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-26,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-04-02,전국,160000,FALSE,아이폰Se,없음
번개장터,애플,2022-04-02,전국,160000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-26,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-04-02,인천,230000,FALSE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,1460000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,광주,370000,FALSE,아이폰11,64GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-04-02,인천,230000,FALSE,아이폰Pro,256GB
번개장터,애플,2022-04-02,인천,290000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,인천,450000,FALSE,아이폰12Mini,128GB
번개장터,애플,1달 전,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,2022-04-02,서울,120000,FALSE,아이폰Se,없음
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-26,전국,950000,TRUE,아이폰12ProMax,128GB
번개장터,애플,1년 전,서울,129000,FALSE,아이폰Se,64GB
번개장터,애플,2022-04-02,서울,880000,FALSE,아이폰12Pro,512GB
번개장터,애플,2022-03-28,전국,900000,TRUE,아이폰12Pro,512GB
번개장터,애플,2022-04-02,인천,360000,FALSE,아이폰11,없음
번개장터,애플,2022-04-02,경기도,624000,FALSE,아이폰11Pro,256GB
번개장터,애플,1달 전,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-04-02,경기도,624000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,광주,170000,FALSE,아이폰Se,64GB
번개장터,애플,2022-04-02,인천,230000,FALSE,아이폰Pro,256GB
번개장터,애플,2022-03-26,서울,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-04-02,광주,790000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-04-02,경기도,870000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-04-02,충남,275000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-04-02,인천,463000,FALSE,아이폰12Mini,128GB
번개장터,애플,1년 전,서울,389000,FALSE,아이폰XsMax,512GB
번개장터,애플,2022-04-02,전국,1450000,FALSE,아이폰13ProMax,256GB
번개장터,애플,1년 전,서울,199000,FALSE,아이폰Se,128GB
번개장터,애플,2022-04-02,인천,770000,FALSE,아이폰13Mini,128GB
번개장터,애플,2022-04-02,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-04-02,제주특별자치도,400000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-04-02,인천,760000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,인천,970000,FALSE,아이폰XsXr1112Pro,없음
번개장터,애플,2022-04-02,전북,1220000,FALSE,아이폰13Pro,256GB
번개장터,애플,1년 전,서울,279000,FALSE,아이폰Xs,512GB
번개장터,애플,2022-04-02,경기도,565000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-04-02,경기도,565000,FALSE,아이폰11Pro,256GB
