데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
중고나라,애플,2022-03-30,지역없음,750000,FALSE,아이폰13Pro,없음
중고나라,애플,2022-03-30,지역없음,450000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-03-30,지역없음,770000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-30,지역없음,330000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-30,지역없음,780000,FALSE,아이폰13Mini,128GB
중고나라,애플,2022-03-30,지역없음,460000,FALSE,아이폰XsMax,256GB
중고나라,애플,2022-03-30,지역없음,800000,FALSE,아이폰13Mini,256GB
중고나라,애플,2022-03-30,지역없음,1170000,FALSE,아이폰13Pro,128GB
중고나라,애플,2022-03-30,지역없음,620000,TRUE,아이폰12Mini,256GB
중고나라,애플,2022-03-30,지역없음,1850000,FALSE,아이폰13ProMax,64GB
중고나라,애플,2022-03-30,지역없음,1200000,FALSE,아이폰13Pro,256GB
중고나라,애플,2022-03-30,지역없음,300000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-30,지역없음,960000,FALSE,아이폰12ProMax,128GB
중고나라,애플,2022-03-30,지역없음,1050000,FALSE,아이폰13ProMax,128GB
중고나라,애플,2022-03-30,지역없음,365000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-30,지역없음,319000,FALSE,아이폰11,256GB
중고나라,애플,2022-03-30,지역없음,634000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-30,지역없음,920000,TRUE,아이폰13,256GB
중고나라,애플,2022-03-30,지역없음,1470000,TRUE,아이폰13ProMax,256GB
중고나라,애플,2022-03-30,지역없음,350000,FALSE,아이폰11,64GB
중고나라,애플,2022-03-30,지역없음,870000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-30,지역없음,1100000,FALSE,아이폰12ProMax,256GB
중고나라,애플,2022-03-30,지역없음,850000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-03-30,지역없음,550000,TRUE,아이폰11,64GB
중고나라,애플,2022-03-30,지역없음,580000,TRUE,아이폰12Mini,64GB
중고나라,애플,2022-03-30,지역없음,1180000,TRUE,아이폰13Pro,256GB
중고나라,애플,2022-03-30,지역없음,150000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-30,지역없음,1260000,TRUE,아이폰1213Pro,256GB
중고나라,애플,2022-03-30,지역없음,820000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-30,지역없음,555000,TRUE,아이폰Se,64GB
중고나라,애플,2022-03-30,지역없음,330000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-30,지역없음,170000,FALSE,아이폰Xr,64GB
중고나라,애플,2022-03-30,지역없음,170000,FALSE,아이폰Xr,64GB
중고나라,애플,2022-03-30,지역없음,620000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-30,지역없음,480000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-03-30,지역없음,700000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-30,지역없음,400000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-30,지역없음,1190000,TRUE,아이폰13Pro,256GB
중고나라,애플,2022-03-30,지역없음,220000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-30,지역없음,600000,FALSE,아이폰1112,64GB
중고나라,애플,2022-03-30,지역없음,240000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-30,지역없음,130000,FALSE,아이폰Pro,128GB
중고나라,애플,2022-03-30,지역없음,290000,FALSE,아이폰Pro,64GB
중고나라,애플,2022-03-30,지역없음,650000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-30,지역없음,600000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-03-30,지역없음,550000,TRUE,아이폰12Mini,64GB
중고나라,애플,2022-03-30,지역없음,450000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-03-30,지역없음,560000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-03-30,지역없음,820000,FALSE,아이폰13Mini,256GB
중고나라,애플,2022-03-30,지역없음,820000,FALSE,아이폰1113Mini,256GB
중고나라,애플,2022-03-30,지역없음,1280000,TRUE,아이폰13Pro,256GB
중고나라,애플,2022-03-30,지역없음,450000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-03-30,지역없음,1350000,FALSE,아이폰13ProMax,256GB
중고나라,애플,2022-03-30,지역없음,1550000,TRUE,아이폰13Pro,512GB
중고나라,애플,2022-03-30,지역없음,1550000,TRUE,아이폰13Pro,512GB
중고나라,애플,2022-03-30,지역없음,1300000,TRUE,아이폰13,512GB
중고나라,애플,2022-03-30,지역없음,1570000,TRUE,아이폰13Pro,없음
중고나라,애플,2022-03-30,지역없음,320000,FALSE,아이폰Xr,128GB
중고나라,애플,2022-03-30,지역없음,590000,FALSE,아이폰12,128GB
중고나라,애플,2022-03-30,지역없음,450000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-03-30,지역없음,330000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-30,지역없음,370000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-03-30,지역없음,350000,FALSE,아이폰11,128GB
중고나라,애플,2022-03-30,지역없음,350000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-03-30,지역없음,400000,FALSE,아이폰11Pro,없음
