데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,2022-03-23,경기도,130000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-23,경기도,480000,FALSE,아이폰12Mini,128GB
당근마켓,애플,2022-03-23,경기도,770000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-23,경기도,160000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-23,경기도,770000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-23,인천,380000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-23,경기도,700000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-23,서울,1300000,TRUE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-23,경기도,1100000,TRUE,아이폰13Pro,128GB
당근마켓,애플,2022-03-23,대구,170000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-23,서울,220000,TRUE,아이폰Xs,256GB
당근마켓,애플,2022-03-23,울산,550000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-23,경기도,765000,FALSE,아이폰11ProMax,512GB
당근마켓,애플,2022-03-23,대구,210000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-23,서울,1310000,TRUE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-23,대구,250000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-23,서울,1290000,FALSE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-23,서울,1290000,FALSE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-23,서울,1310000,TRUE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-23,충북,780000,FALSE,아이폰12Pro,128GB
당근마켓,애플,2022-03-23,서울,160000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-23,전북,500000,FALSE,아이폰11,128GB
당근마켓,애플,2022-03-23,전북,800000,FALSE,아이폰13Mini,256GB
당근마켓,애플,2022-03-22,세종시,750000,FALSE,아이폰13Mini,256GB
당근마켓,애플,2022-03-22,부산,350000,FALSE,아이폰Xs,256GB
당근마켓,애플,2022-03-22,서울,750000,FALSE,아이폰12,64GB
당근마켓,애플,2022-03-22,경북,100000,FALSE,아이폰Pro,128GB
당근마켓,애플,2022-03-22,경남,270000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-22,광주,500000,FALSE,아이폰XsMax,64GB
