데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
당근마켓,애플,1년 전,대구,300000,TRUE,아이폰Xs,64GB
당근마켓,애플, 8달 전,경기도,410000,FALSE,아이폰XsMax,64GB
당근마켓,애플,2022-03-27,경기도,1000000,FALSE,아이폰12ProMax,256GB
당근마켓,애플,2022-03-27,서울,910000,FALSE,아이폰12Pro,512GB
당근마켓,애플,2022-03-27,경기도,250000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-27,경기도,520000,FALSE,아이폰11Pro,64GB
당근마켓,애플,2022-03-27,경기도,230000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-27,부산,250000,FALSE,아이폰Se,128GB
당근마켓,애플,2022-03-27,서울,750000,TRUE,아이폰12Pro,128GB
당근마켓,애플,2022-03-27,경기도,600000,FALSE,아이폰12Mini,256GB
당근마켓,애플,2022-03-27,서울,1200000,FALSE,아이폰13ProMax,128GB
당근마켓,애플,2022-03-27,서울,1100000,FALSE,아이폰12ProMax,512GB
당근마켓,애플,2022-03-27,서울,220000,TRUE,아이폰Xs,256GB
당근마켓,애플,2022-03-27,경기도,140000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-27,서울,140000,FALSE,아이폰Se,64GB
당근마켓,애플,2022-03-27,서울,630000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-26,서울,1790000,FALSE,아이폰13ProMax,없음
당근마켓,애플,2022-03-26,경기도,1450000,FALSE,아이폰13ProMax,256GB
당근마켓,애플,2022-03-26,서울,230000,TRUE,아이폰Se,128GB
당근마켓,애플,2022-03-26,경기도,450000,FALSE,아이폰11Pro,256GB
당근마켓,애플,2022-03-26,서울,650000,TRUE,아이폰11ProMax,256GB
당근마켓,애플,2022-03-26,경기도,200000,FALSE,아이폰Xr,64GB
당근마켓,애플,2022-03-26,서울,270000,TRUE,아이폰Xr,128GB
당근마켓,애플,2022-03-26,부산,300000,FALSE,아이폰Xs,64GB
당근마켓,애플,2022-03-26,서울,1750000,FALSE,아이폰13ProMax,없음
