데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-21,서울,880000,FALSE,아이폰XsMaxMini,없음
번개장터,애플,2022-03-21,경기도,379000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-21,인천,1100000,FALSE,아이폰13Pro,128GB
번개장터,애플,2022-03-21,서울,670000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-18,경기도,479000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,서울,670000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-21,전국,750000,TRUE,아이폰11ProMax,256GB
번개장터,애플,2022-03-21,경기도,640000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-14,경기도,429000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-21,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-21,전국,530000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-21,서울,840000,TRUE,아이폰13Mini,128GB
번개장터,애플,2022-03-21,전국,750000,TRUE,아이폰11ProMax,256GB
번개장터,애플,2022-03-21,울산,470000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,경기도,1040000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-21,전남,470000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-21,경기도,384000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,경기도,249000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-19,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-21,부산,700000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-21,부산,570000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-21,전국,210000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-21,경기도,380000,FALSE,아이폰XsMax,256GB
번개장터,애플,2022-03-21,전국,450000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,전국,370000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-21,부산,590000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-21,부산,590000,FALSE,아이폰12,64GB
번개장터,애플,1년 전,서울,129000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-21,대구,450000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-21,부산,830000,FALSE,아이폰12Pro,256GB
번개장터,애플,1년 전,서울,199000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-21,부산,850000,TRUE,아이폰13,128GB
번개장터,애플,2022-03-21,경기도,200000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-21,경기도,200000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-21,경기도,200000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-19,경기도,490000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,서울,1440000,FALSE,아이폰13ProMax,256GB
번개장터,애플,2022-03-21,전남,700000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-19,경기도,235000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-21,대구,450000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-21,전국,800000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-21,부산,1100000,TRUE,아이폰13Pro,128GB
번개장터,애플,2022-03-21,경기도,570000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-21,경기도,1040000,FALSE,아이폰12ProMax,256GB
번개장터,애플,2022-03-21,대구,450000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-17,서울,320000,TRUE,아이폰Xr,64GB
번개장터,애플,2022-03-21,경기도,384000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,서울,530000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-21,경기도,384000,FALSE,아이폰12Mini,128GB
번개장터,애플,2022-03-21,전국,350000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-07,서울,330000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-21,서울,580000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-21,서울,580000,FALSE,아이폰12,64GB
번개장터,애플,2022-03-21,경기도,590000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-21,경기도,249000,FALSE,아이폰Se,128GB
번개장터,애플,2022-03-14,서울,660000,TRUE,아이폰12,128GB
번개장터,애플,2022-03-17,서울,460000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-21,서울,900000,FALSE,아이폰13,128GB
번개장터,애플,2022-03-21,경기도,830000,TRUE,아이폰13,128GB
번개장터,애플,2022-03-21,경기도,200000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-17,서울,460000,TRUE,아이폰11,128GB
