데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
번개장터,애플,2022-03-24,서울,880000,FALSE,아이폰XsXr111213Se,없음
번개장터,애플,2022-03-24,전국,250000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-30,서울,480000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,서울,480000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,서울,999990,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-30,경기도,758000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,경기도,758000,FALSE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,서울,777777,FALSE,아이폰XsXr111213,없음
번개장터,애플,2022-03-30,인천,220000,FALSE,아이폰Xs,256GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,549000,TRUE,아이폰Xr,64GB
번개장터,애플,1달 전,서울,579000,TRUE,아이폰Xr,128GB
번개장터,애플,2022-03-28,전국,220000,TRUE,아이폰Se,128GB
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-28,전국,240000,TRUE,아이폰Se,64GB
번개장터,애플,2022-03-30,경기도,370000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-28,서울,450000,TRUE,아이폰11,128GB
번개장터,애플,2022-03-30,서울,650000,TRUE,아이폰Se,256GB
번개장터,애플,2022-03-30,서울,650000,TRUE,아이폰Se,256GB
번개장터,애플,1년 전,서울,409000,FALSE,아이폰11,256GB
번개장터,애플,2022-03-30,전국,1490000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,서울,800000,TRUE,아이폰12,256GB
번개장터,애플,2022-03-30,강원도,470000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-23,서울,789000,FALSE,아이폰12Pro,512GB
번개장터,애플,2022-03-30,강원도,470000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-30,전국,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,서울,730000,TRUE,아이폰Se,256GB
번개장터,애플,1년 전,서울,279000,FALSE,아이폰Xs,512GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,경기도,150000,FALSE,아이폰Se,128GB
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-24,전국,540000,TRUE,아이폰XsMax,256GB
번개장터,애플,2022-03-30,서울,880000,FALSE,아이폰12,256GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,전국,350000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-30,전국,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,1240000,TRUE,아이폰13Pro,256GB
번개장터,애플,1달 전,서울,800000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-03-30,전국,410000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-30,부산,208000,TRUE,아이폰13,128GB
번개장터,애플,2022-03-30,경기도,1160000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-24,전국,580000,TRUE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,인천,396000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-28,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,전국,400000,FALSE,아이폰11Pro,256GB
번개장터,애플,2022-03-24,전국,1250000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-28,전국,520000,TRUE,아이폰11Pro,256GB
번개장터,애플,2022-03-30,인천,450000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-28,전국,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-30,충북,780000,FALSE,아이폰12Pro,없음
번개장터,애플,1달 전,서울,1420000,TRUE,아이폰13Pro,512GB
번개장터,애플,2022-03-30,충북,780000,FALSE,아이폰12Pro,없음
번개장터,애플,2022-03-30,경기도,1160000,TRUE,아이폰13Pro,256GB
번개장터,애플,2022-03-30,부산,472000,TRUE,아이폰13Pro,128GB
번개장터,애플,1년 전,서울,309000,FALSE,아이폰Xr,256GB
번개장터,애플,2022-03-30,경기도,450000,FALSE,아이폰12Mini,64GB
번개장터,애플,2022-03-30,대구,250000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-30,인천,550000,FALSE,아이폰11Pro,256GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-30,서울,480000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,대구,500000,FALSE,아이폰11Pro,256GB
번개장터,애플,1달 전,서울,1460000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,서울,570000,FALSE,아이폰12,128GB
번개장터,애플,2022-03-30,전국,380000,FALSE,아이폰11,없음
번개장터,애플,2022-03-24,전국,950000,TRUE,아이폰12ProMax,128GB
번개장터,애플,1달 전,서울,1360000,TRUE,아이폰13ProMax,128GB
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,경기도,270000,FALSE,아이폰Xs,64GB
번개장터,애플,2022-03-23,서울,579000,FALSE,아이폰12,256GB
번개장터,애플,2022-03-30,전국,390000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-30,전국,390000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-23,서울,489000,FALSE,아이폰11Pro,512GB
번개장터,애플,2022-03-23,서울,489000,FALSE,아이폰11Pro,512GB
번개장터,애플,2022-03-30,경북,300000,FALSE,아이폰XsMax,64GB
번개장터,애플,2022-03-30,전국,150000,FALSE,아이폰Se,없음
번개장터,애플,2022-03-23,서울,840000,TRUE,아이폰12Pro,128GB
번개장터,애플,2022-03-28,전국,900000,TRUE,아이폰12Pro,512GB
번개장터,애플,2022-03-30,경기도,339000,FALSE,아이폰Xs,없음
번개장터,애플,1달 전,서울,1280000,TRUE,아이폰13Pro,256GB
번개장터,애플,1년 전,서울,589000,FALSE,아이폰11ProMax,512GB
번개장터,애플,2022-03-30,경기도,339000,FALSE,아이폰Xs,없음
번개장터,애플,1달 전,서울,1480000,TRUE,아이폰13ProMax,256GB
번개장터,애플,2022-03-30,경기도,580000,FALSE,아이폰11Pro,64GB
번개장터,애플,1달 전,서울,1050000,TRUE,아이폰12ProMax,256GB
번개장터,애플,2022-03-30,경기도,580000,FALSE,아이폰11Pro,64GB
번개장터,애플,1달 전,서울,1000000,TRUE,아이폰12ProMax,128GB
번개장터,애플,2022-03-30,전국,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-30,경기도,300000,FALSE,아이폰Xr,64GB
번개장터,애플,2022-03-30,전국,200000,FALSE,아이폰Se,64GB
번개장터,애플,2022-03-30,인천,970000,FALSE,아이폰XsXr1112Pro,없음
번개장터,애플,2022-03-23,서울,429000,FALSE,아이폰12Mini,256GB
번개장터,애플,2022-03-30,인천,777000,FALSE,아이폰11,없음
번개장터,애플,2022-03-23,인천,555000,FALSE,아이폰Xs1112,없음
번개장터,애플,2022-03-30,대구,300000,FALSE,아이폰11,64GB
번개장터,애플,2022-03-23,인천,555000,FALSE,아이폰Xs1112,없음
번개장터,애플,2022-03-23,서울,959000,FALSE,아이폰12ProMax,512GB
번개장터,애플,2022-03-30,경기도,450000,FALSE,아이폰11Pro,64GB
번개장터,애플,2022-03-30,충북,420000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-30,전국,999999,FALSE,아이폰XsXrSeMax,없음
번개장터,애플,2022-03-30,충북,420000,FALSE,아이폰11,128GB
번개장터,애플,2022-03-30,전국,790000,FALSE,아이폰13Mini,128GB
