데이터 출처,회사명,업로드 일시,매물 지역,가격,제품 상태,기종,메모리
중고나라,애플,2022-04-01,지역없음,1220000,FALSE,아이폰13Pro,256GB
중고나라,애플,2022-04-01,지역없음,450000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-04-01,지역없음,600000,TRUE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,600000,TRUE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,1580000,TRUE,아이폰13ProMax,512GB
중고나라,애플,2022-04-01,지역없음,360000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-04-01,지역없음,820000,FALSE,아이폰13,128GB
중고나라,애플,2022-04-01,지역없음,1800000,FALSE,아이폰13ProMax,없음
중고나라,애플,2022-04-01,지역없음,790000,FALSE,아이폰13Mini,256GB
중고나라,애플,2022-04-01,지역없음,230000,FALSE,아이폰Se,64GB
중고나라,애플,2022-04-01,지역없음,760000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,820000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,820000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,240000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,730000,TRUE,아이폰13Mini,128GB
중고나라,애플,2022-03-31,지역없음,1220000,FALSE,아이폰13Pro,256GB
중고나라,애플,2022-03-31,지역없음,720000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-31,지역없음,970000,FALSE,아이폰12ProMax,128GB
중고나라,애플,2022-03-31,지역없음,190000,FALSE,아이폰Se,64GB
중고나라,애플,2022-03-31,지역없음,420000,FALSE,아이폰11,64GB
중고나라,애플,2022-03-31,지역없음,800000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-03-29,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-03-29,지역없음,930000,FALSE,아이폰12ProMax,256GB
중고나라,애플,2022-03-29,지역없음,960000,FALSE,아이폰12ProMax,128GB
중고나라,애플,2022-03-23,지역없음,850000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,320000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-04-01,지역없음,1850000,FALSE,아이폰13ProMax,64GB
중고나라,애플,2022-04-01,지역없음,240000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,400000,FALSE,아이폰XsMax,256GB
중고나라,애플,2022-04-01,지역없음,830000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,790000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,400000,FALSE,아이폰11ProMax,256GB
중고나라,애플,2022-04-01,지역없음,420000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-04-01,지역없음,790000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-04-01,지역없음,800000,FALSE,아이폰13,128GB
중고나라,애플,2022-04-01,지역없음,800000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,750000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-04-01,지역없음,350000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-04-01,지역없음,850000,TRUE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,270000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,460000,FALSE,아이폰XsMax,256GB
중고나라,애플,2022-04-01,지역없음,880000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,950000,FALSE,아이폰13,256GB
중고나라,애플,2022-04-01,지역없음,610000,TRUE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,300000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-04-01,지역없음,1200000,TRUE,아이폰13Pro,128GB
중고나라,애플,2022-04-01,지역없음,430000,FALSE,아이폰XsMax,64GB
중고나라,애플,2022-04-01,지역없음,520000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,650000,TRUE,아이폰11Pro,64GB
중고나라,애플,2022-04-01,지역없음,750000,TRUE,아이폰11ProMax,64GB
중고나라,애플,2022-04-01,지역없음,300000,FALSE,아이폰Xr,64GB
중고나라,애플,2022-04-01,지역없음,1100000,FALSE,아이폰12ProMax,256GB
중고나라,애플,2022-04-01,지역없음,420000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-04-01,지역없음,660000,FALSE,아이폰12,64GB
중고나라,애플,2022-04-01,지역없음,400000,FALSE,아이폰11,128GB
중고나라,애플,2022-04-01,지역없음,1100000,TRUE,아이폰13,256GB
중고나라,애플,2022-04-01,지역없음,300000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-04-01,지역없음,780000,TRUE,아이폰13Mini,128GB
중고나라,애플,2022-04-01,지역없음,220000,FALSE,아이폰Se,64GB
중고나라,애플,2022-04-01,지역없음,220000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,460000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-04-01,지역없음,630000,FALSE,아이폰12,128GB
중고나라,애플,2022-04-01,지역없음,410000,FALSE,아이폰11,128GB
중고나라,애플,2022-04-01,지역없음,410000,FALSE,아이폰11,128GB
중고나라,애플,2022-04-01,지역없음,420000,FALSE,아이폰XsMax,64GB
중고나라,애플,2022-04-01,지역없음,1120000,FALSE,아이폰13Pro,256GB
중고나라,애플,2022-04-01,지역없음,830000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,640000,FALSE,아이폰12,128GB
중고나라,애플,2022-04-01,지역없음,380000,FALSE,아이폰Xs,512GB
중고나라,애플,2022-04-01,지역없음,980000,FALSE,아이폰12ProMax,128GB
중고나라,애플,2022-04-01,지역없음,900000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,490000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,220000,FALSE,아이폰Se,128GB
중고나라,애플,2022-04-01,지역없음,350000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,830000,TRUE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,450000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-04-01,지역없음,380000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-04-01,지역없음,1470000,TRUE,아이폰13ProMax,256GB
중고나라,애플,2022-04-01,지역없음,410000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-04-01,지역없음,760000,FALSE,아이폰12Pro,128GB
중고나라,애플,2022-04-01,지역없음,480000,FALSE,아이폰11Pro,64GB
중고나라,애플,2022-04-01,지역없음,420000,FALSE,아이폰12Mini,64GB
중고나라,애플,2022-04-01,지역없음,830000,FALSE,아이폰12Pro,256GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Xr12,64GB
중고나라,애플,2022-04-01,지역없음,439000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,190000,FALSE,아이폰Se,64GB
중고나라,애플,2022-04-01,지역없음,910000,FALSE,아이폰12ProMax,256GB
중고나라,애플,2022-04-01,지역없음,439000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,470000,FALSE,아이폰12Mini,128GB
중고나라,애플,2022-04-01,지역없음,590000,FALSE,아이폰12,128GB
중고나라,애플,2022-04-01,지역없음,570000,FALSE,아이폰11Pro,256GB
중고나라,애플,2022-04-01,지역없음,370000,FALSE,아이폰Xs,256GB
중고나라,애플,2022-04-01,지역없음,340000,FALSE,아이폰11,128GB
중고나라,애플,2022-04-01,지역없음,350000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-04-01,지역없음,550000,FALSE,아이폰12,128GB
중고나라,애플,2022-04-01,지역없음,250000,FALSE,아이폰Xs,64GB
중고나라,애플,2022-04-01,지역없음,640000,FALSE,아이폰12,128GB
중고나라,애플,2022-04-01,지역없음,1550000,TRUE,아이폰13Pro,512GB
